Beneficiary_ID,Employee_ID,Beneficiary_Name,Relationship,Allocation_Percentage
BEN00001,EMP00001,April Perez Family,Spouse,100
BEN00002,EMP00002,Jonathan Morris Family,Sibling,100
BEN00003,EMP00003,Kathryn Cook Family,Parent,100
BEN00004,EMP00004,Christopher Johnson Family,Sibling,100
BEN00005,EMP00005,Kenneth Thompson Family,Sibling,100
BEN00006,EMP00006,Wendy Kidd Family,Parent,100
BEN00007,EMP00007,John Smith Family,Sibling,100
BEN00008,EMP00008,Timothy Callahan Family,Parent,100
BEN00009,EMP00009,Jessica Blanchard Family,Spouse,100
BEN00010,EMP00010,Fernando Lara Family,Sibling,100
BEN00011,EMP00011,Patricia Duncan Family,Parent,100
BEN00012,EMP00012,Melissa Cannon Family,Child,100
BEN00013,EMP00013,Keith Allen Family,Parent,100
BEN00014,EMP00014,Brenda Griffin Family,Child,100
BEN00015,EMP00015,Donna Johnson Family,Sibling,100
BEN00016,EMP00016,Casey Miller Family,Parent,100
BEN00017,EMP00017,David Deleon Family,Parent,100
BEN00018,EMP00018,Christina Smith Family,Sibling,100
BEN00019,EMP00019,Cathy Wilson Family,Sibling,100
BEN00020,EMP00020,Nicholas Rhodes Family,Child,100
BEN00021,EMP00021,Scott Haney Family,Parent,100
BEN00022,EMP00022,Jessica Smith Family,Spouse,100
BEN00023,EMP00023,Kristin Anderson Family,Sibling,100
BEN00024,EMP00024,John Mcdonald Family,Spouse,100
BEN00025,EMP00025,Stephen Brown Family,Sibling,100
BEN00026,EMP00026,Daniel Faulkner Family,Parent,100
BEN00027,EMP00027,Pamela Morales Family,Spouse,100
BEN00028,EMP00028,Kenneth Torres Family,Child,100
BEN00029,EMP00029,Ryan Sims Family,Spouse,100
BEN00030,EMP00030,Aaron Whitaker Family,Parent,100
BEN00031,EMP00031,Ricardo Larson Family,Child,100
BEN00032,EMP00032,Emily Johnson Family,Spouse,100
BEN00033,EMP00033,Susan Jones Family,Sibling,100
BEN00034,EMP00034,Amanda Thompson Family,Parent,100
BEN00035,EMP00035,Wanda Evans Family,Child,100
BEN00036,EMP00036,Gabriel Hicks Family,Spouse,100
BEN00037,EMP00037,Laura Harris Family,Sibling,100
BEN00038,EMP00038,Michael Phillips Family,Child,100
BEN00039,EMP00039,Laurie David Family,Parent,100
BEN00040,EMP00040,Amanda Rodriguez Family,Sibling,100
BEN00041,EMP00041,Juan Ramirez Family,Child,100
BEN00042,EMP00042,Jennifer Garcia Family,Sibling,100
BEN00043,EMP00043,Thomas Taylor Family,Sibling,100
BEN00044,EMP00044,Thomas Mendoza Family,Sibling,100
BEN00045,EMP00045,Paul Horne Family,Parent,100
BEN00046,EMP00046,Larry Keller Family,Child,100
BEN00047,EMP00047,Sarah Tanner Family,Parent,100
BEN00048,EMP00048,Valerie Barnett Family,Parent,100
BEN00049,EMP00049,Danielle Alexander Family,Parent,100
BEN00050,EMP00050,Rachel Smith Family,Sibling,100
BEN00051,EMP00051,Charlene Goodwin Family,Spouse,100
BEN00052,EMP00052,Steven Warren Family,Parent,100
BEN00053,EMP00053,Steven Mason Family,Sibling,100
