Workflow_ID,Claim_ID,Submitted_Date,Reviewed_Date,Approved_By,Payout_Date
WF00001,CLM00001,2025-01-23,2025-01-27,Abena Ofori,
WF00002,CLM00002,2024-06-12,2024-06-24,Michael Owusu,2024-07-04
WF00003,CLM00003,2025-10-15,2025-10-19,Daniel Asare,
WF00004,CLM00004,2024-07-25,2024-07-28,Abena Ofori,
WF00005,CLM00005,2024-09-16,2024-09-20,Kwame Mensah,2024-09-24
WF00006,CLM00006,2024-12-13,2024-12-26,Kwame Mensah,2025-01-01
WF00007,CLM00007,2024-11-07,2024-11-09,Kwame Mensah,
WF00008,CLM00008,2025-01-06,2025-01-09,Ama Boateng,2025-01-19
WF00009,CLM00009,2024-08-24,2024-09-03,Abena Ofori,2024-09-07
WF00010,CLM00010,2024-05-07,2024-05-21,Ama Boateng,
WF00011,CLM00011,2024-05-03,2024-05-08,Daniel Asare,
WF00012,CLM00012,2024-05-29,2024-06-07,Abena Ofori,2024-06-13
WF00013,CLM00013,2024-05-01,2024-05-13,Michael Owusu,
WF00014,CLM00014,2025-09-04,2025-09-16,Abena Ofori,2025-09-19
WF00015,CLM00015,2024-09-15,2024-09-28,Daniel Asare,
WF00016,CLM00016,2025-01-31,2025-02-10,Abena Ofori,
WF00017,CLM00017,2025-07-13,2025-07-17,Daniel Asare,
WF00018,CLM00018,2024-07-01,2024-07-10,Abena Ofori,2024-07-13
WF00019,CLM00019,2024-02-16,2024-02-25,Daniel Asare,
WF00020,CLM00020,2025-10-07,2025-10-13,Abena Ofori,2025-10-23
WF00021,CLM00021,2025-05-06,2025-05-10,Abena Ofori,2025-05-18
WF00022,CLM00022,2025-07-10,2025-07-21,Abena Ofori,
WF00023,CLM00023,2025-06-09,2025-06-23,Kwame Mensah,2025-06-29
WF00024,CLM00024,2025-05-20,2025-05-27,Daniel Asare,
WF00025,CLM00025,2025-04-17,2025-04-26,Michael Owusu,
WF00026,CLM00026,2025-08-03,2025-08-08,Abena Ofori,
WF00027,CLM00027,2025-03-23,2025-03-29,Daniel Asare,2025-04-03
WF00028,CLM00028,2024-07-28,2024-07-31,Kwame Mensah,2024-08-03
WF00029,CLM00029,2024-06-12,2024-06-22,Abena Ofori,
WF00030,CLM00030,2024-06-11,2024-06-16,Abena Ofori,2024-06-20
WF00031,CLM00031,2024-09-16,2024-09-27,Kwame Mensah,2024-10-03
WF00032,CLM00032,2024-06-21,2024-06-30,Michael Owusu,2024-07-03
WF00033,CLM00033,2024-12-01,2024-12-03,Ama Boateng,
WF00034,CLM00034,2025-07-21,2025-07-27,Kwame Mensah,2025-07-31
WF00035,CLM00035,2025-07-13,2025-07-17,Ama Boateng,2025-07-26
WF00036,CLM00036,2024-12-15,2024-12-18,Michael Owusu,
WF00037,CLM00037,2025-11-30,2025-12-07,Michael Owusu,2025-12-10
WF00038,CLM00038,2024-08-29,2024-09-07,Kwame Mensah,2024-09-10
WF00039,CLM00039,2024-07-25,2024-08-08,Michael Owusu,2024-08-13
WF00040,CLM00040,2025-10-04,2025-10-10,Ama Boateng,
WF00041,CLM00041,2024-09-23,2024-10-07,Kwame Mensah,
WF00042,CLM00042,2025-09-05,2025-09-08,Abena Ofori,2025-09-17
WF00043,CLM00043,2025-06-23,2025-06-29,Michael Owusu,
WF00044,CLM00044,2024-08-07,2024-08-15,Michael Owusu,2024-08-18
WF00045,CLM00045,2025-04-27,2025-05-09,Michael Owusu,
WF00046,CLM00046,2025-04-24,2025-04-30,Daniel Asare,
WF00047,CLM00047,2024-03-21,2024-03-25,Daniel Asare,
WF00048,CLM00048,2024-02-11,2024-02-13,Ama Boateng,
WF00049,CLM00049,2024-12-09,2024-12-14,Michael Owusu,2024-12-22
WF00050,CLM00050,2024-10-29,2024-11-11,Abena Ofori,
WF00051,CLM00051,2024-12-01,2024-12-07,Abena Ofori,2024-12-15
WF00052,CLM00052,2025-07-23,2025-07-29,Michael Owusu,
WF00053,CLM00053,2024-10-03,2024-10-06,Daniel Asare,2024-10-11
WF00054,CLM00054,2024-07-25,2024-08-07,Ama Boateng,2024-08-10
WF00055,CLM00055,2024-11-06,2024-11-10,Daniel Asare,
WF00056,CLM00056,2024-03-21,2024-04-02,Ama Boateng,2024-04-12
WF00057,CLM00057,2025-08-21,2025-09-02,Abena Ofori,2025-09-11
WF00058,CLM00058,2024-10-04,2024-10-08,Kwame Mensah,2024-10-14
WF00059,CLM00059,2024-08-19,2024-08-25,Daniel Asare,2024-08-31
WF00060,CLM00060,2025-09-03,2025-09-09,Kwame Mensah,2025-09-15
WF00061,CLM00061,2025-10-15,2025-10-28,Ama Boateng,
WF00062,CLM00062,2024-04-20,2024-05-02,Kwame Mensah,2024-05-10
WF00063,CLM00063,2024-04-30,2024-05-14,Abena Ofori,2024-05-21
WF00064,CLM00064,2025-08-23,2025-09-04,Daniel Asare,
WF00065,CLM00065,2025-04-29,2025-05-12,Daniel Asare,2025-05-17
WF00066,CLM00066,2025-07-23,2025-08-01,Kwame Mensah,2025-08-09
WF00067,CLM00067,2024-10-25,2024-10-28,Ama Boateng,
WF00068,CLM00068,2025-05-05,2025-05-13,Ama Boateng,
WF00069,CLM00069,2025-06-16,2025-06-28,Daniel Asare,
WF00070,CLM00070,2025-04-24,2025-05-07,Abena Ofori,2025-05-15
WF00071,CLM00071,2025-06-24,2025-06-26,Ama Boateng,
WF00072,CLM00072,2024-02-10,2024-02-24,Abena Ofori,
WF00073,CLM00073,2025-04-05,2025-04-15,Kwame Mensah,
WF00074,CLM00074,2025-03-24,2025-04-07,Ama Boateng,2025-04-10
WF00075,CLM00075,2024-09-22,2024-10-04,Ama Boateng,2024-10-12
WF00076,CLM00076,2025-07-24,2025-07-27,Kwame Mensah,2025-07-31
WF00077,CLM00077,2024-06-08,2024-06-11,Ama Boateng,
WF00078,CLM00078,2025-09-23,2025-10-04,Kwame Mensah,
WF00079,CLM00079,2024-06-26,2024-07-04,Daniel Asare,
WF00080,CLM00080,2024-11-14,2024-11-20,Ama Boateng,2024-11-23
WF00081,CLM00081,2024-10-08,2024-10-12,Kwame Mensah,2024-10-20
WF00082,CLM00082,2024-05-20,2024-05-31,Abena Ofori,
WF00083,CLM00083,2025-02-19,2025-02-21,Abena Ofori,2025-03-01
WF00084,CLM00084,2025-02-15,2025-02-24,Kwame Mensah,
WF00085,CLM00085,2024-08-20,2024-09-03,Ama Boateng,
