Employee_ID,Corporate_ID,Employee_Name,Employee_Title,Employee_Suffix,Occupation,Grade_Level,Monthly_Salary_GHS,Age,Gender,Gender_Guess,Dependents,Smoker
EMP00001,CORP001,April Perez,,,Network Engineer,Mid,12000,43,Male,Female,2,Yes
EMP00002,CORP001,Jonathan Morris,,,Software Engineer,Junior,8500,40,Female,Male,4,No
EMP00003,CORP001,Kathryn Cook,,,Network Engineer,Junior,7500,40,Male,Female,4,No
EMP00004,CORP001,Christopher Johnson,,,Software Engineer,Mid,13000,51,Female,Male,0,Yes
EMP00005,CORP001,Kenneth Thompson,,,Software Engineer,Junior,8500,58,Female,Male,0,No
EMP00006,CORP001,Wendy Kidd,,,Network Engineer,Junior,7500,26,Female,Female,2,Yes
EMP00007,CORP001,John Smith,,,Software Engineer,Senior,19000,56,Male,Male,2,No
EMP00008,CORP001,Timothy Callahan,,,Software Engineer,Mid,13000,40,Female,Male,1,No
EMP00009,CORP001,Jessica Blanchard,,,Software Engineer,Senior,19000,23,Male,Female,2,No
EMP00010,CORP001,Fernando Lara,,,Network Engineer,Senior,17000,41,Female,Male,3,Yes
EMP00011,CORP001,Patricia Duncan,,,Software Engineer,Mid,13000,57,Female,Female,4,Yes
EMP00012,CORP001,Melissa Cannon,,,Network Engineer,Junior,7500,46,Female,Female,1,No
EMP00013,CORP001,Keith Allen,,,Software Engineer,Junior,8500,43,Female,Male,3,No
EMP00014,CORP001,Brenda Griffin,,,Network Engineer,Mid,12000,39,Female,Female,2,Yes
EMP00015,CORP001,Donna Johnson,,,Network Engineer,Mid,12000,48,Male,Female,4,Yes
EMP00016,CORP001,Casey Miller,,,Network Engineer,Senior,17000,48,Female,Unknown,3,No
EMP00017,CORP001,David Deleon,,,Network Engineer,Junior,7500,39,Male,Male,2,No
EMP00018,CORP001,Christina Smith,,,Software Engineer,Senior,19000,23,Female,Female,3,No
EMP00019,CORP001,Cathy Wilson,,,Network Engineer,Senior,17000,46,Female,Female,4,No
EMP00020,CORP001,Nicholas Rhodes,,,Software Engineer,Mid,13000,51,Male,Male,3,No
